"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.315186167E0,1.285205841E0,-4.541524124E1,9.025352478E0,4.632119254E1
1.325175167E0,1.214517593E0,-4.545738602E1,8.797309875E0,4.631675353E1
1.335164167E0,1.256631851E0,-4.543436432E1,8.872734070E0,4.630967496E1
1.345153167E0,1.433776855E0,-4.545155334E1,8.695831299E0,4.629813063E1
1.355142167E0,1.474565506E0,-4.558270264E1,8.736534119E0,4.643580678E1
1.365131167E0,1.678274155E0,-4.561825943E1,8.772682190E0,4.648442912E1
1.375120167E0,1.686845779E0,-4.545087433E1,8.751792908E0,4.631653382E1
1.385109167E0,1.635786057E0,-4.547837067E1,8.683128357E0,4.632876766E1
1.395098167E0,1.704629898E0,-4.555210495E1,8.600555420E0,4.638824832E1
1.405086167E0,1.438488007E0,-4.549640656E1,8.500305176E0,4.630601954E1
1.415075167E0,1.443355560E0,-4.546124268E1,8.491264343E0,4.626996251E1
1.425064167E0,1.520551682E0,-4.571580505E1,8.265747070E0,4.648192642E1
1.435053167E0,1.623693466E0,-4.573371124E1,8.154022217E0,4.648329595E1
1.445042167E0,1.570350647E0,-4.570204163E1,8.023498535E0,4.642756874E1
1.455031167E0,1.582971573E0,-4.554330444E1,8.262481689E0,4.631378825E1
1.465020167E0,1.599716187E0,-4.563445663E1,8.070701599E0,4.637023774E1
1.475009167E0,1.660755157E0,-4.555929565E1,8.169937134E0,4.631582236E1
1.484998167E0,1.624376297E0,-4.568475723E1,7.919403076E0,4.639453186E1
1.494986167E0,1.733453751E0,-4.575309753E1,8.019332886E0,4.648290541E1
1.504975167E0,1.599090576E0,-4.573888397E1,8.008110046E0,4.646216121E1
1.514964167E0,1.767259598E0,-4.569143677E1,7.916717529E0,4.640587265E1
1.524953167E0,1.685974121E0,-4.578820801E1,7.727706909E0,4.646633142E1
1.534942667E0,1.749132156E0,-4.574287415E1,7.677604675E0,4.641568282E1
1.544931667E0,1.749132156E0,-4.574287415E1,7.677604675E0,4.641568282E1
1.554920667E0,1.791896820E0,-4.571931839E1,7.829208374E0,4.641942990E1
1.564909667E0,1.892869949E0,-4.555266190E1,7.817016602E0,4.625725577E1
1.574898667E0,1.860946655E0,-4.574993134E1,7.702529907E0,4.643111356E1
1.584886667E0,1.877689362E0,-4.575951004E1,7.821128845E0,4.646104317E1
1.594875667E0,1.837228775E0,-4.578371811E1,7.915710449E0,4.649927661E1
1.604864667E0,1.902463913E0,-4.565705109E1,7.820358276E0,4.636101473E1
1.614853667E0,1.854890823E0,-4.567837524E1,7.610542297E0,4.634517169E1
1.624842667E0,1.782339096E0,-4.543736267E1,7.583999634E0,4.610040900E1
1.634831667E0,1.785060883E0,-4.554164124E1,7.801971436E0,4.623957490E1
1.644820667E0,1.771142960E0,-4.554615021E1,7.562171936E0,4.620362746E1
1.654809667E0,1.761308670E0,-4.556213760E1,7.611389160E0,4.622708985E1
1.664798667E0,1.696004868E0,-4.557598877E1,7.527336121E0,4.622453866E1
1.674786667E0,1.629705429E0,-4.558855438E1,7.630996704E0,4.625153339E1
1.684775667E0,1.915359497E0,-4.549858093E1,7.801910400E0,4.620237304E1
1.694764667E0,1.806632996E0,-4.551137543E1,7.497924805E0,4.616024363E1
1.704753667E0,1.967536926E0,-4.530854034E1,7.894226074E0,4.603318189E1
1.714742667E0,1.992876053E0,-4.549337387E1,7.620521545E0,4.617023900E1
1.724731667E0,1.961696625E0,-4.523421860E1,7.660766602E0,4.592025839E1
1.734720667E0,2.055192947E0,-4.539848328E1,7.511337280E0,4.606154893E1
1.744709667E0,2.295034409E0,-4.528446579E1,7.697868347E0,4.599138182E1
