"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.614355583E0,2.231418228E1,-3.048664856E1,-1.991011047E1,4.270563160E1
1.624343583E0,2.225668716E1,-3.036360168E1,-1.998123932E1,4.262110223E1
1.634331583E0,2.228777695E1,-3.049130630E1,-1.972169495E1,4.260762858E1
1.644319583E0,2.222776222E1,-3.053962326E1,-1.955223846E1,4.253271719E1
1.654307583E0,2.239922714E1,-3.053307724E1,-1.936114502E1,4.253055512E1
1.664296583E0,2.234400940E1,-3.052939224E1,-1.943041992E1,4.253045691E1
1.674284583E0,2.263242531E1,-3.068072128E1,-1.928524780E1,4.272533343E1
1.684272583E0,2.262172508E1,-3.068008423E1,-1.912030792E1,4.264500192E1
1.694260583E0,2.279257202E1,-3.070066452E1,-1.898014069E1,4.268814685E1
1.704248583E0,2.298172760E1,-3.071652985E1,-1.893782806E1,4.278207967E1
1.714236583E0,2.302519417E1,-3.074860764E1,-1.889024353E1,4.280744957E1
1.724224583E0,2.328041267E1,-3.092306137E1,-1.863124847E1,4.295738305E1
1.734212583E0,2.337203217E1,-3.087464523E1,-1.863890839E1,4.297562695E1
1.744200583E0,2.327730942E1,-3.080084991E1,-1.855231476E1,4.283356011E1
1.754188583E0,2.357037163E1,-3.062783051E1,-1.841252899E1,4.280943405E1
1.764176583E0,2.365428162E1,-3.079271698E1,-1.835314178E1,4.294827437E1
1.774164583E0,2.377919006E1,-3.078134155E1,-1.815476990E1,4.292477767E1
1.784153583E0,2.398354530E1,-3.074823761E1,-1.813175964E1,4.300494471E1
1.794141583E0,2.412549782E1,-3.073815155E1,-1.808186340E1,4.305609585E1
1.804129583E0,2.412792206E1,-3.064798737E1,-1.782708740E1,4.288660394E1
1.814117583E0,2.419566917E1,-3.058108139E1,-1.765576935E1,4.280606426E1
1.824105583E0,2.424517822E1,-3.062331390E1,-1.764037323E1,4.285789063E1
1.834093583E0,2.433119392E1,-3.061470032E1,-1.748023224E1,4.283486188E1
1.844081583E0,2.428270531E1,-3.067372894E1,-1.761249542E1,4.290369937E1
1.854069583E0,2.433200264E1,-3.061185837E1,-1.745692444E1,4.282378353E1
1.864057583E0,2.425471115E1,-3.071537399E1,-1.763244629E1,4.292584740E1
1.874045583E0,2.422494125E1,-3.068498230E1,-1.760554504E1,4.287623041E1
1.884033583E0,2.418879509E1,-3.074663162E1,-1.760966492E1,4.290167202E1
1.894022583E0,2.411533737E1,-3.071726227E1,-1.769988251E1,4.287639839E1
1.904010583E0,2.411533737E1,-3.071726227E1,-1.769988251E1,4.287639839E1
1.913998583E0,2.408385277E1,-3.073048401E1,-1.761000824E1,4.283114523E1
1.923986583E0,2.424909973E1,-3.073612595E1,-1.754194641E1,4.290044475E1
1.933974583E0,2.409776688E1,-3.087131119E1,-1.761643219E1,4.294273985E1
1.943962583E0,2.417874527E1,-3.070846176E1,-1.753861237E1,4.283951762E1
1.953950583E0,2.432007599E1,-3.091073608E1,-1.731835175E1,4.297516735E1
1.963938583E0,2.424112129E1,-3.077061462E1,-1.734529114E1,4.284065605E1
1.973926583E0,2.418988609E1,-3.077481461E1,-1.691799164E1,4.264338453E1
