"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.318616346E2,4.133756709E1,1.982141923E1,1.206976771E2,1.615157213E2,3.122815079E-1,NaN,3.780610263E-1,6.620059561E0,7.027626613E0,-1.000000000E0
1.328616471E2,4.133757914E1,1.982143688E1,1.209796187E2,1.617978098E2,8.006134045E-2,NaN,3.781385261E-1,6.480697604E0,7.167339295E0,-1.000000000E0
1.338616605E2,4.133757980E1,1.982143719E1,1.208615859E2,1.616797814E2,1.747758044E-1,NaN,3.782635295E-1,6.480705414E0,6.204416121E0,-1.000000000E0
1.348616730E2,4.133758086E1,1.982143769E1,1.206226551E2,1.614408578E2,3.908353919E-1,NaN,3.786697101E-1,6.480713161E0,5.607687179E0,-1.000000000E0
1.358605198E2,4.133758417E1,1.982143975E1,1.202411520E2,1.610593798E2,8.694403074E-1,2.146092054E1,3.788999134E-1,6.480720849E0,5.977503436E0,-1.000000000E0
1.368605192E2,4.133758350E1,1.982143714E1,1.199288983E2,1.607471089E2,9.302180364E-1,NaN,3.791169987E-1,6.494636697E0,5.070580091E0,-1.000000000E0
1.378605317E2,4.133758488E1,1.982143898E1,1.196881294E2,1.605063558E2,7.240366289E-1,NaN,3.791842521E-1,6.494644500E0,4.825467502E0,-1.000000000E0
1.388605281E2,4.133758435E1,1.982143936E1,1.194186837E2,1.602369101E2,2.389997308E-1,NaN,3.793389143E-1,6.494652227E0,4.833479455E0,-1.000000000E0
1.398605363E2,4.133758337E1,1.982143805E1,1.193204780E2,1.601386931E2,1.887999087E-1,NaN,3.793973663E-1,6.494660055E0,5.753723741E0,-1.000000000E0
1.408605512E2,4.133758295E1,1.982143762E1,1.193177105E2,1.601359215E2,1.932118135E-1,NaN,3.794998443E-1,6.494667727E0,5.960741311E0,-1.000000000E0
1.418605469E2,4.133758321E1,1.982143644E1,1.192359852E2,1.600541908E2,3.706831991E-1,NaN,3.797994682E-1,6.494675357E0,6.146779797E0,-1.000000000E0
1.428605496E2,4.133758070E1,1.982143511E1,1.196444805E2,1.604626684E2,2.827614262E-1,NaN,3.798527980E-1,6.494683147E0,6.309916814E0,-1.000000000E0
1.438605640E2,4.133758024E1,1.982143526E1,1.204348385E2,1.612530252E2,3.069997840E-1,NaN,3.800407169E-1,6.494690991E0,6.616485943E0,-1.000000000E0
1.448605664E2,4.133757876E1,1.982143415E1,1.206768871E2,1.614950617E2,1.163841461E-1,NaN,3.801127600E-1,6.494698758E0,6.838195604E0,-1.000000000E0
1.458605711E2,4.133757849E1,1.982143337E1,1.206709281E2,1.614890973E2,1.419306992E-1,NaN,3.802313743E-1,6.494706417E0,6.868663812E0,-1.000000000E0
1.468605863E2,4.133757826E1,1.982143199E1,1.204664348E2,1.612845954E2,1.360335345E-1,NaN,3.803107540E-1,6.494714081E0,6.850492344E0,-1.000000000E0
1.478605829E2,4.133757756E1,1.982143219E1,1.205382944E2,1.613564532E2,4.289380072E-2,NaN,3.803368494E-1,6.494721832E0,6.795872862E0,-1.000000000E0
1.488605922E2,4.133757745E1,1.982143247E1,1.207037500E2,1.615219099E2,1.207488582E-2,NaN,3.804084973E-1,6.494729597E0,6.885904845E0,-1.000000000E0
1.498606074E2,4.133757810E1,1.982143245E1,1.208997130E2,1.617178755E2,7.406789585E-2,NaN,3.805886772E-1,6.494737325E0,6.885076895E0,-1.000000000E0
1.508606225E2,4.133757814E1,1.982143030E1,1.208202962E2,1.616384470E2,1.320786020E-1,NaN,3.806587792E-1,6.494745145E0,6.974966654E0,-1.000000000E0
1.518606378E2,4.133757875E1,1.982143050E1,1.209374802E2,1.617556347E2,1.242314946E-1,NaN,3.807850303E-1,6.494752926E0,7.025140099E0,-1.000000000E0
1.528606526E2,4.133757947E1,1.982142933E1,1.207222669E2,1.615404179E2,2.013145823E-1,NaN,3.808566195E-1,6.494760723E0,7.083876624E0,-1.000000000E0
1.538606678E2,4.133757883E1,1.982142943E1,1.208103620E2,1.616285109E2,9.331744132E-2,NaN,3.809749953E-1,6.494768555E0,7.072379711E0,-1.000000000E0
1.548606834E2,4.133757916E1,1.982142807E1,1.206371718E2,1.614553146E2,5.704527203E-2,NaN,3.811742166E-1,6.494776261E0,7.113326406E0,-1.000000000E0
1.558606981E2,4.133758094E1,1.982142830E1,1.208969480E2,1.617150994E2,7.788526864E-2,NaN,3.812741124E-1,6.494784057E0,7.220389115E0,-1.000000000E0
1.568607122E2,4.133758080E1,1.982142711E1,1.207958634E2,1.616140078E2,1.064217564E-1,NaN,3.815514502E-1,6.494791828E0,7.196132752E0,-1.000000000E0
